2014-05-27 21:24:20,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:20,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:25,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:25,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:30,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:30,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:35,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:35,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:40,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:40,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:45,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:45,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:50,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:50,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:55,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:55,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:00,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:00,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:05,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:05,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:10,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:15,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:15,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:20,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:20,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:25,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:25,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:30,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:30,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:35,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:35,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:40,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:40,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:45,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:45,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:50,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:50,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:25:55,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:25:55,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:00,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:00,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:05,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:05,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:10,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:15,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:15,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:20,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:20,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:25,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:25,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:30,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:30,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:35,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:35,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:40,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:40,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:45,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:45,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:50,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:50,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:26:55,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:26:55,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:00,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:00,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:05,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:05,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:10,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:15,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:15,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:20,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
